ASV_names	barcode01	barcode02	barcode03	barcode04	barcode05	barcode06
ASV1	5	7	219107	0	0	0
ASV2	427	0	0	0	198681	0
ASV3	0	262	0	0	7	155891
ASV4	0	114344	0	0	0	0
ASV5	113380	0	0	0	33	0
ASV6	0	0	0	90819	0	0
ASV7	72041	0	0	0	0	0
ASV8	0	0	0	61542	0	0
ASV9	0	43487	0	0	0	0
ASV10	0	70	0	0	0	42572
ASV11	34362	0	0	0	0	0
ASV12	0	0	0	28079	0	0
ASV13	0	11	0	27667	0	0
ASV14	0	22147	0	0	0	0
ASV15	0	21561	0	0	0	0
ASV16	0	21018	0	0	0	0
ASV17	0	0	0	0	0	2171
ASV18	1962	0	0	0	0	0
ASV19	0	0	0	0	1890	0
ASV20	0	0	0	0	0	1363
ASV21	0	0	0	1170	0	0
ASV22	0	0	0	0	925	0
ASV23	0	0	821	0	0	0
ASV24	0	0	0	0	802	0
ASV25	0	0	0	0	0	607
ASV26	0	0	476	0	0	0
ASV27	0	0	0	446	0	0
ASV28	398	0	0	0	0	0
ASV29	0	0	0	0	367	0
ASV30	359	0	0	0	0	0
ASV31	355	0	0	0	0	0
ASV32	0	0	0	346	0	0
ASV33	0	170	0	0	0	161
ASV34	0	254	0	0	0	0
ASV35	0	0	0	0	239	0
ASV36	0	0	0	208	0	0
ASV37	147	0	0	0	0	0
ASV38	0	64	0	0	0	56
ASV39	107	0	0	0	0	0
ASV40	0	0	0	0	102	0
ASV41	0	0	0	0	97	0
ASV42	91	0	0	0	0	0
ASV43	0	0	50	0	0	0
ASV44	31	0	14	0	0	0
ASV45	0	0	40	0	0	0
ASV46	0	0	32	0	0	0
ASV47	28	0	0	0	0	0
ASV48	26	0	0	0	0	0
ASV49	0	0	25	0	0	0
ASV50	0	0	21	0	0	0
ASV51	0	0	19	0	0	0
ASV52	0	0	0	0	17	0
ASV53	0	0	0	0	17	0
ASV54	16	0	0	0	0	0
ASV55	16	0	0	0	0	0
ASV56	0	0	0	0	12	0
ASV57	11	0	0	0	0	0
ASV58	0	0	8	0	0	0
ASV59	0	0	0	0	8	0
ASV60	0	0	0	0	8	0
ASV61	0	0	0	0	0	8
ASV62	0	0	0	0	7	0
ASV63	4	0	0	0	0	0
